URL,Complex Name,Address
https://www.apartments.com/the-reef-apartments-jacksonville-fl/x3mk9dp/,The Reef Apartments,"2753 Mayport Rd, Jacksonville, FL 32233"
https://www.apartments.com/pinnacle-jacksonville-fl/jbf6fm6/,Pinnacle,"8760 Pinnacle Park Blvd, Jacksonville, FL 32256"
https://www.apartments.com/the-maggie-flats-jacksonville-fl/ebvrkfq/,The Maggie Flats,"3730 DuPont Ave, Jacksonville, FL 32217"
https://www.apartments.com/pointe-grand-on-main-jacksonville-fl/jqq5zy5/,Pointe Grand on Main,"11833 N Main St, Jacksonville, FL 32218"
https://www.apartments.com/pointe-grand-jacksonville-west-jacksonville-fl/jx9rt66/,Pointe Grand Jacksonville West,"10350 103rd St, Jacksonville, FL 32210"
https://www.apartments.com/lofts-at-cathedral-jacksonville-fl/jhexjr7/,Lofts at Cathedral,"325 Duval St E, Jacksonville, FL 32202"
https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,Waterside Townhomes at River City,"14277 River Station Ln, Jacksonville, FL 32218"
https://www.apartments.com/casa-solara-townhomes-jacksonville-fl/cdrx52d/,Casa Solara Townhomes,"14158 Wind Row Dr, Jacksonville, FL 32258"
https://www.apartments.com/the-landings-at-san-marco-jacksonville-fl/we2dnrk/,The Landings at San Marco,"2600 Art Museum Dr, Jacksonville, FL 32207"
https://www.apartments.com/red-bay-apartment-complex-jacksonville-fl/ksmqmkc/,Red Bay Apartment Complex,"7528 Arlington Expy, Jacksonville, FL 32211"
https://www.apartments.com/the-park-at-avellino-jacksonville-fl/zc6tk2w/,The Park at Avellino,"4500 Baymeadows Rd, Jacksonville, FL 32217"
https://www.apartments.com/oaks-at-normandy-apartments-jacksonville-fl/z8mr8ez/,Oaks at Normandy Apartments,"7777 Normandy Blvd, Jacksonville, FL 32221"
https://www.apartments.com/coastal-bay-jacksonville-fl/mhbm5el/,Coastal Bay,"2001 Hodges Blvd, Jacksonville, FL 32224"
https://www.apartments.com/northlake-apartments-jacksonville-fl/4wf2trj/,Northlake Apartments,"2445 Dunn Ave, Jacksonville, FL 32218"
https://www.apartments.com/terraces-at-town-center-jacksonville-fl/ct980jf/,Terraces at Town Center,"5140 Gate Pky N, Jacksonville, FL 32256"
