URL,Name,Address,Rent,Beds
https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,Waterside Townhomes at River City,"14277 River Station Ln, Jacksonville, FL 32218","$2,175 - $2,475",2-3 Beds
https://www.apartments.com/madison-palms-jacksonville-fl/xwk5hlm/,Madison Palms,"8300 Merrill Rd, Jacksonville, FL 32277","$1,026 - $1,855",1-3 Beds
https://www.apartments.com/casa-solara-townhomes-jacksonville-fl/cdrx52d/,Casa Solara Townhomes,"14158 Wind Row Dr, Jacksonville, FL 32258","$1,855 - $2,900",2-3 Beds
https://www.apartments.com/the-residences-at-barnett-jacksonville-fl/xwg41lq/,The Residences at Barnett,"112 W Adams St, Jacksonville, FL 32202","$1,165 - $1,878",1-2 Beds
https://www.apartments.com/the-landings-at-san-marco-jacksonville-fl/we2dnrk/,The Landings at San Marco,"2600 Art Museum Dr, Jacksonville, FL 32207","$1,108 - $1,723",1-2 Beds
https://www.apartments.com/red-bay-apartment-complex-jacksonville-fl/ksmqmkc/,Red Bay Apartment Complex,"7528 Arlington Expy, Jacksonville, FL 32211","$850 - $1,885",1-3 Beds
https://www.apartments.com/oaks-at-normandy-apartments-jacksonville-fl/z8mr8ez/,Oaks at Normandy Apartments,"7777 Normandy Blvd, Jacksonville, FL 32221","$1,249 - $1,599",1-3 Beds
https://www.apartments.com/coventry-park-apartments-jacksonville-fl/0mmsgv2/,Coventry Park Apartments,"6650 Corporate Center Pky, Jacksonville, FL 32216","$1,264 - $5,693",1-3 Beds
https://www.apartments.com/club-at-charter-pointe-jacksonville-fl/v579s1g/,Club at Charter Pointe,"5501 University Club Blvd N, Jacksonville, FL 32277","$1,005 - $1,595",1-3 Beds
https://www.apartments.com/northlake-apartments-jacksonville-fl/4wf2trj/,Northlake Apartments,"2445 Dunn Ave, Jacksonville, FL 32218","$949 - $2,050",1-3 Beds
https://www.apartments.com/terraces-at-town-center-jacksonville-fl/ct980jf/,Terraces at Town Center,"5140 Gate Pky N, Jacksonville, FL 32256","$1,336 - $4,310",1-2 Beds
https://www.apartments.com/lake-lofts-at-deerwood-jacksonville-fl/m4x9b7j/,Lake Lofts at Deerwood,"4360 Deerwood Lake Pky, Jacksonville, FL 32216","$1,250 - $1,969",1-2 Beds
https://www.apartments.com/11-east-forsyth-apartments-jacksonville-fl/flx8d1v/,11 East Forsyth Apartments,"11 E Forsyth St, Jacksonville, FL 32202","$1,179 - $2,421",Studio - 2 Beds
https://www.apartments.com/golden-shores-of-jacksonville-jacksonville-fl/t3pktn8/,Golden Shores of Jacksonville,"7703 Hare Ave, Jacksonville, FL 32211","$580 - $1,149",Studio - 2 Beds
https://www.apartments.com/river-house-jacksonville-fl/n77nzxm/,River House,"1655 Prudential Dr, Jacksonville, FL 32207","$1,449 - $2,994",Studio - 3 Beds
https://www.apartments.com/the-solera-at-kendall-west-jacksonville-fl/9jkyxe6/,The Solera at Kendall West,"1462 Solera Ter, Jacksonville, FL 32211","$1,349 - $2,059",1-3 Beds
https://www.apartments.com/the-oasis-at-town-center-jacksonville-fl/2bdvw38/,The Oasis at Town Center,"10667 Brightman Blvd, Jacksonville, FL 32246","$1,534 - $2,698",1-3 Beds
https://www.apartments.com/lofts-at-brooklyn-jacksonville-fl/9vd56b7/,Lofts at Brooklyn,"190 Chelsea St, Jacksonville, FL 32204","$1,305 - $1,425",Studio - 3 Beds
https://www.apartments.com/the-reef-apartments-jacksonville-fl/x3mk9dp/,The Reef Apartments,"2753 Mayport Rd, Jacksonville, FL 32233","$1,495 - $2,695",1-3 Beds
