Complex URL,Floor Plan Name,Price,Unit Name,Square Footage,Availability,Beds,Baths
https://www.apartments.com/1008-durbin-parke-dr-jacksonville-fl/k58l1lc/,A1-C,"$3,045 ",,"2,671 sq ft",Now,4 bd,3 ba
https://www.apartments.com/10120-lancashire-dr-jacksonville-fl/hp65d33/,A1-C,"$2,070 ",,"2,270 sq ft",Now,4 bd,3 ba
https://www.apartments.com/10189-carriage-house-ct-jacksonville-fl/8rvdem2/,A1-C,"$1,780 ",,"1,824 sq ft",Now,4 bd,2 ba
https://www.apartments.com/10235-meadow-pointe-dr-jacksonville-fl/492swbk/,A1-C,"$2,595 ",,"2,646 sq ft",Now,5 bd,3 ba
https://www.apartments.com/1032-busac-ave-jacksonville-fl/elclycq/,A1-C,"$1,595 ",,"1,222 sq ft",Now,3 bd,2 ba
https://www.apartments.com/10340-arrow-lakes-dr-e-jacksonville-fl/wjlvcpl/,A1-C,"$1,945 ",,"1,798 sq ft",Now,4 bd,3 ba
https://www.apartments.com/10352-pinehurst-dr-jacksonville-fl/zbf1hwx/,A1-C,"$1,280 ",,"1,308 sq ft",Now,3 bd,1 ba
https://www.apartments.com/10387-meadow-point-dr-jacksonville-fl/9jrs9w7/,A1-C,"$2,290 ",,"2,649 sq ft",Now,4 bd,3 ba
https://www.apartments.com/1045-old-hickory-rd-jacksonville-fl/6x2s7sv/,Sierra,"$2,800 ",,"1,456 sq ft",31-Oct,3 bd,2 ba
https://www.apartments.com/10541-rocky-garden-ln-jacksonville-fl/k4m06v9/,Sierra,"$1,995 ",,"1,638 sq ft",31-Oct,3 bd,2 ba
https://www.apartments.com/10547-biscayne-blvd-jacksonville-fl/pg7l73r/,A1-C,"$1,315 ",,"1,157 sq ft",Now,3 bd,1 ba
https://www.apartments.com/10596-rusty-pines-dr-jacksonville-fl/97wp4g5/,A1-C,"$2,255 ",,"1,895 sq ft",Now,3 bd,2 ba
https://www.apartments.com/10626-hearthstone-dr-jacksonville-fl/gzy6r5z/,A1-C,"$1,880 ",,"1,681 sq ft",Now,3 bd,2 ba
