Complex URL,Floor Plan Name,Price,Unit Name,Square Footage,Availability,Beds,Baths
https://www.apartments.com/the-reef-apartments-jacksonville-fl/x3mk9dp/,Bali,1480,1415,640,Now,<span>1 bed</span>,<span>1 bath</span>
https://www.apartments.com/the-reef-apartments-jacksonville-fl/x3mk9dp/,Bali,1480,2421,640,Now,<span>1 bed</span>,<span>1 bath</span>
https://www.apartments.com/the-reef-apartments-jacksonville-fl/x3mk9dp/,Bali,1480,1215,640,Now,<span>1 bed</span>,<span>1 bath</span>
https://www.apartments.com/the-reef-apartments-jacksonville-fl/x3mk9dp/,Bimini,1625,1213,775,Now,<span>1 bed</span>,<span>1 bath</span>
https://www.apartments.com/the-reef-apartments-jacksonville-fl/x3mk9dp/,Biscayne,1580,2518,709,Nov 1,<span>1 bed</span>,<span>1 bath</span>
https://www.apartments.com/the-reef-apartments-jacksonville-fl/x3mk9dp/,Biscayne,1580,2530,709,Nov 3,<span>1 bed</span>,<span>1 bath</span>
https://www.apartments.com/the-reef-apartments-jacksonville-fl/x3mk9dp/,Biscayne,1580,2418,709,Nov 30,<span>1 bed</span>,<span>1 bath</span>
https://www.apartments.com/the-reef-apartments-jacksonville-fl/x3mk9dp/,Bahama,1595,1224,770,Dec 9,<span>1 bed</span>,<span>1 bath</span>
https://www.apartments.com/the-reef-apartments-jacksonville-fl/x3mk9dp/,Bahama,1595,2124,770,Dec 29,<span>1 bed</span>,<span>1 bath</span>
https://www.apartments.com/the-reef-apartments-jacksonville-fl/x3mk9dp/,Santorini,1950,2419,928,Now,<span>2 beds</span>,<span>2 baths</span>
https://www.apartments.com/the-reef-apartments-jacksonville-fl/x3mk9dp/,Santorini,1950,1312,928,Oct 31,<span>2 beds</span>,<span>2 baths</span>
https://www.apartments.com/the-reef-apartments-jacksonville-fl/x3mk9dp/,Santorini,1950,2338,928,Oct 31,<span>2 beds</span>,<span>2 baths</span>
https://www.apartments.com/the-reef-apartments-jacksonville-fl/x3mk9dp/,Silhouette,2199,1240,"1,160",Now,<span>2 beds</span>,<span>2 baths</span>
https://www.apartments.com/the-reef-apartments-jacksonville-fl/x3mk9dp/,Silhouette,2199,1340,"1,160",Oct 27,<span>2 beds</span>,<span>2 baths</span>
https://www.apartments.com/the-reef-apartments-jacksonville-fl/x3mk9dp/,Silhouette,2199,1540,"1,160",Now,<span>2 beds</span>,<span>2 baths</span>
https://www.apartments.com/the-reef-apartments-jacksonville-fl/x3mk9dp/,Santa Luiza,2100,1136,"1,082",Oct 31,<span>2 beds</span>,<span>2 baths</span>
https://www.apartments.com/the-reef-apartments-jacksonville-fl/x3mk9dp/,Santa Luiza,2100,2114,"1,082",Nov 1,<span>2 beds</span>,<span>2 baths</span>
https://www.apartments.com/the-reef-apartments-jacksonville-fl/x3mk9dp/,Santa Luiza,2100,2336,"1,082",Nov 8,<span>2 beds</span>,<span>2 baths</span>
https://www.apartments.com/the-reef-apartments-jacksonville-fl/x3mk9dp/,Seychelle,2199,2102,"1,172",Oct 31,<span>2 beds</span>,<span>2 baths</span>
https://www.apartments.com/the-reef-apartments-jacksonville-fl/x3mk9dp/,Seychelle,2199,2302,"1,172",Oct 31,<span>2 beds</span>,<span>2 baths</span>
https://www.apartments.com/the-reef-apartments-jacksonville-fl/x3mk9dp/,Seychelle,2199,1202,"1,172",Dec 31,<span>2 beds</span>,<span>2 baths</span>
https://www.apartments.com/the-reef-apartments-jacksonville-fl/x3mk9dp/,Bali,1480,1415,640,Now,<span>1 bed</span>,<span>1 bath</span>
https://www.apartments.com/the-reef-apartments-jacksonville-fl/x3mk9dp/,Bali,1480,2421,640,Now,<span>1 bed</span>,<span>1 bath</span>
https://www.apartments.com/the-reef-apartments-jacksonville-fl/x3mk9dp/,Bali,1480,1215,640,Now,<span>1 bed</span>,<span>1 bath</span>
https://www.apartments.com/the-reef-apartments-jacksonville-fl/x3mk9dp/,Bimini,1625,1213,775,Now,<span>1 bed</span>,<span>1 bath</span>
https://www.apartments.com/the-reef-apartments-jacksonville-fl/x3mk9dp/,Biscayne,1580,2518,709,Nov 1,<span>1 bed</span>,<span>1 bath</span>
https://www.apartments.com/the-reef-apartments-jacksonville-fl/x3mk9dp/,Biscayne,1580,2530,709,Nov 3,<span>1 bed</span>,<span>1 bath</span>
https://www.apartments.com/the-reef-apartments-jacksonville-fl/x3mk9dp/,Biscayne,1580,2418,709,Nov 30,<span>1 bed</span>,<span>1 bath</span>
https://www.apartments.com/the-reef-apartments-jacksonville-fl/x3mk9dp/,Bahama,1595,1224,770,Dec 9,<span>1 bed</span>,<span>1 bath</span>
https://www.apartments.com/the-reef-apartments-jacksonville-fl/x3mk9dp/,Bahama,1595,2124,770,Dec 29,<span>1 bed</span>,<span>1 bath</span>
https://www.apartments.com/the-reef-apartments-jacksonville-fl/x3mk9dp/,Santorini,1950,2419,928,Now,<span>2 beds</span>,<span>2 baths</span>
https://www.apartments.com/the-reef-apartments-jacksonville-fl/x3mk9dp/,Santorini,1950,1312,928,Oct 31,<span>2 beds</span>,<span>2 baths</span>
https://www.apartments.com/the-reef-apartments-jacksonville-fl/x3mk9dp/,Santorini,1950,2338,928,Oct 31,<span>2 beds</span>,<span>2 baths</span>
https://www.apartments.com/the-reef-apartments-jacksonville-fl/x3mk9dp/,Silhouette,2199,1240,"1,160",Now,<span>2 beds</span>,<span>2 baths</span>
https://www.apartments.com/the-reef-apartments-jacksonville-fl/x3mk9dp/,Silhouette,2199,1340,"1,160",Oct 27,<span>2 beds</span>,<span>2 baths</span>
https://www.apartments.com/the-reef-apartments-jacksonville-fl/x3mk9dp/,Silhouette,2199,1540,"1,160",Now,<span>2 beds</span>,<span>2 baths</span>
https://www.apartments.com/the-reef-apartments-jacksonville-fl/x3mk9dp/,Santa Luiza,2100,1136,"1,082",Oct 31,<span>2 beds</span>,<span>2 baths</span>
https://www.apartments.com/the-reef-apartments-jacksonville-fl/x3mk9dp/,Santa Luiza,2100,2114,"1,082",Nov 1,<span>2 beds</span>,<span>2 baths</span>
https://www.apartments.com/the-reef-apartments-jacksonville-fl/x3mk9dp/,Santa Luiza,2100,2336,"1,082",Nov 8,<span>2 beds</span>,<span>2 baths</span>
https://www.apartments.com/the-reef-apartments-jacksonville-fl/x3mk9dp/,Seychelle,2199,2102,"1,172",Oct 31,<span>2 beds</span>,<span>2 baths</span>
https://www.apartments.com/the-reef-apartments-jacksonville-fl/x3mk9dp/,Seychelle,2199,2302,"1,172",Oct 31,<span>2 beds</span>,<span>2 baths</span>
https://www.apartments.com/the-reef-apartments-jacksonville-fl/x3mk9dp/,Seychelle,2199,1202,"1,172",Dec 31,<span>2 beds</span>,<span>2 baths</span>
https://www.apartments.com/pinnacle-jacksonville-fl/jbf6fm6/,Apex,1724,1169,697,Now,<span>1 bed</span>,<span>1 bath</span>
https://www.apartments.com/pinnacle-jacksonville-fl/jbf6fm6/,Apex,1449,1210,697,Nov 18,<span>1 bed</span>,<span>1 bath</span>
https://www.apartments.com/pinnacle-jacksonville-fl/jbf6fm6/,Axiom,1629,1493,863,Now,<span>1 bed</span>,<span>1 bath</span>
https://www.apartments.com/pinnacle-jacksonville-fl/jbf6fm6/,Axiom,1804,1181,863,Now,<span>1 bed</span>,<span>1 bath</span>
https://www.apartments.com/pinnacle-jacksonville-fl/jbf6fm6/,Axiom,1679,1149,863,Oct 28,<span>1 bed</span>,<span>1 bath</span>
https://www.apartments.com/pinnacle-jacksonville-fl/jbf6fm6/,Optimum - offering Den/Sunroom or Office options),1879,1184,"1,054",Now,<span>1 bed</span>,<span>1.5 baths</span>
https://www.apartments.com/pinnacle-jacksonville-fl/jbf6fm6/,Paramount,2024,1250,"1,292",Now,<span>2 beds</span>,<span>2.5 baths</span>
https://www.apartments.com/pinnacle-jacksonville-fl/jbf6fm6/,Paramount,2049,1456,"1,292",Nov 9,<span>2 beds</span>,<span>2.5 baths</span>
https://www.apartments.com/pinnacle-jacksonville-fl/jbf6fm6/,Xanadu,2174,1155,"1,316",Now,<span>2 beds</span>,<span>2.5 baths</span>
https://www.apartments.com/pinnacle-jacksonville-fl/jbf6fm6/,Xanadu,2224,1164,"1,316",Now,<span>2 beds</span>,<span>2.5 baths</span>
https://www.apartments.com/pinnacle-jacksonville-fl/jbf6fm6/,Xanadu,2374,1167,"1,316",Now,<span>2 beds</span>,<span>2.5 baths</span>
