Complex URL,Floor Plan Name,Price,Unit Name,Square Footage,Availability,Beds,Baths
https://www.apartments.com/golden-shores-of-jacksonville-jacksonville-fl/t3pktn8/,Lake studio,757,"
                                    $757
                                ","
                                        450
                                        
                                    ",Now,Studio,1 Bath
https://www.apartments.com/golden-shores-of-jacksonville-jacksonville-fl/t3pktn8/,Lake studio,757,"
                                    $757
                                ","
                                        450
                                        
                                    ",Now,Studio,1 Bath
https://www.apartments.com/golden-shores-of-jacksonville-jacksonville-fl/t3pktn8/,Lake studio,757,"
                                    $757
                                ","
                                        450
                                        
                                    ",Now,Studio,1 Bath
https://www.apartments.com/golden-shores-of-jacksonville-jacksonville-fl/t3pktn8/,Willow small - 1 bed/1 bath,897,"
                                    $897
                                ","
                                        645
                                        
                                    ",Now,1 Bed,1 Bath
https://www.apartments.com/golden-shores-of-jacksonville-jacksonville-fl/t3pktn8/,Willow small - 1 bed/1 bath,897,"
                                    $897
                                ","
                                        645
                                        
                                    ",Now,1 Bed,1 Bath
https://www.apartments.com/golden-shores-of-jacksonville-jacksonville-fl/t3pktn8/,Willow small - 1 bed/1 bath,897,"
                                    $897
                                ","
                                        645
                                        
                                    ",Now,1 Bed,1 Bath
https://www.apartments.com/golden-shores-of-jacksonville-jacksonville-fl/t3pktn8/,Willow large  -1 bed/1 bath,945,"
                                    $945
                                ","
                                        750
                                        
                                    ",Now,1 Bed,1 Bath
https://www.apartments.com/golden-shores-of-jacksonville-jacksonville-fl/t3pktn8/,Willow large  -1 bed/1 bath,945,"
                                    $945
                                ","
                                        750
                                        
                                    ",Now,1 Bed,1 Bath
https://www.apartments.com/golden-shores-of-jacksonville-jacksonville-fl/t3pktn8/,Willow large  -1 bed/1 bath,945,"
                                    $945
                                ","
                                        750
                                        
                                    ",Now,1 Bed,1 Bath
https://www.apartments.com/golden-shores-of-jacksonville-jacksonville-fl/t3pktn8/,Oak Townhouse - 2 bed/1 bath,1099,"
                                    $1,099
                                ","
                                        1,050
                                        
                                    ",Now,2 Beds,1 Bath
https://www.apartments.com/golden-shores-of-jacksonville-jacksonville-fl/t3pktn8/,Oak Townhouse - 2 bed/1 bath,1099,"
                                    $1,099
                                ","
                                        1,050
                                        
                                    ",Now,2 Beds,1 Bath
https://www.apartments.com/golden-shores-of-jacksonville-jacksonville-fl/t3pktn8/,Oak Townhouse - 2 bed/1 bath,1099,"
                                    $1,099
                                ","
                                        1,050
                                        
                                    ",Now,2 Beds,1 Bath
https://www.apartments.com/golden-shores-of-jacksonville-jacksonville-fl/t3pktn8/,Lake studio,757,"
                                    $757
                                ","
                                        450
                                        
                                    ",Now,Studio,1 Bath
https://www.apartments.com/golden-shores-of-jacksonville-jacksonville-fl/t3pktn8/,Lake studio,757,"
                                    $757
                                ","
                                        450
                                        
                                    ",Now,Studio,1 Bath
https://www.apartments.com/golden-shores-of-jacksonville-jacksonville-fl/t3pktn8/,Lake studio,757,"
                                    $757
                                ","
                                        450
                                        
                                    ",Now,Studio,1 Bath
https://www.apartments.com/golden-shores-of-jacksonville-jacksonville-fl/t3pktn8/,Willow small - 1 bed/1 bath,897,"
                                    $897
                                ","
                                        645
                                        
                                    ",Now,1 Bed,1 Bath
https://www.apartments.com/golden-shores-of-jacksonville-jacksonville-fl/t3pktn8/,Willow small - 1 bed/1 bath,897,"
                                    $897
                                ","
                                        645
                                        
                                    ",Now,1 Bed,1 Bath
https://www.apartments.com/golden-shores-of-jacksonville-jacksonville-fl/t3pktn8/,Willow small - 1 bed/1 bath,897,"
                                    $897
                                ","
                                        645
                                        
                                    ",Now,1 Bed,1 Bath
https://www.apartments.com/golden-shores-of-jacksonville-jacksonville-fl/t3pktn8/,Willow large  -1 bed/1 bath,945,"
                                    $945
                                ","
                                        750
                                        
                                    ",Now,1 Bed,1 Bath
https://www.apartments.com/golden-shores-of-jacksonville-jacksonville-fl/t3pktn8/,Willow large  -1 bed/1 bath,945,"
                                    $945
                                ","
                                        750
                                        
                                    ",Now,1 Bed,1 Bath
https://www.apartments.com/golden-shores-of-jacksonville-jacksonville-fl/t3pktn8/,Willow large  -1 bed/1 bath,945,"
                                    $945
                                ","
                                        750
                                        
                                    ",Now,1 Bed,1 Bath
https://www.apartments.com/golden-shores-of-jacksonville-jacksonville-fl/t3pktn8/,Oak Townhouse - 2 bed/1 bath,1099,"
                                    $1,099
                                ","
                                        1,050
                                        
                                    ",Now,2 Beds,1 Bath
https://www.apartments.com/golden-shores-of-jacksonville-jacksonville-fl/t3pktn8/,Oak Townhouse - 2 bed/1 bath,1099,"
                                    $1,099
                                ","
                                        1,050
                                        
                                    ",Now,2 Beds,1 Bath
https://www.apartments.com/golden-shores-of-jacksonville-jacksonville-fl/t3pktn8/,Oak Townhouse - 2 bed/1 bath,1099,"
                                    $1,099
                                ","
                                        1,050
                                        
                                    ",Now,2 Beds,1 Bath
https://www.apartments.com/river-house-jacksonville-fl/n77nzxm/,S1,1502,"
                                    $1,502
                                ","
                                        634
                                        
                                    ",Now,Studio,1 Bath
https://www.apartments.com/river-house-jacksonville-fl/n77nzxm/,S1,1602,"
                                    $1,602
                                ","
                                        634
                                        
                                    ",Now,Studio,1 Bath
https://www.apartments.com/river-house-jacksonville-fl/n77nzxm/,S1,1652,"
                                    $1,652
                                ","
                                        634
                                        
                                    ",Mar 14,Studio,1 Bath
https://www.apartments.com/river-house-jacksonville-fl/n77nzxm/,S2,1902,"
                                    $1,902
                                ","
                                        632
                                        
                                    ",Now,Studio,1 Bath
https://www.apartments.com/river-house-jacksonville-fl/n77nzxm/,A2,1449,"
                                    $1,449
                                ","
                                        676
                                        
                                    ",Now,1 Bed,1 Bath
https://www.apartments.com/river-house-jacksonville-fl/n77nzxm/,A2,1699,"
                                    $1,699
                                ","
                                        676
                                        
                                    ",Now,1 Bed,1 Bath
https://www.apartments.com/river-house-jacksonville-fl/n77nzxm/,A2,1699,"
                                    $1,699
                                ","
                                        676
                                        
                                    ",Now,1 Bed,1 Bath
