Unnamed: 0,Floor Plan Name,Price,Unit Name,Square Footage,Availability,Beds,Baths,Name,URL,Address,Longitude,Latitude,geometry,x_jittered,y_jittered,Neighborhood,DollarperSqFoot,NeighborhoodNumber
0,Talbot + Den,2250.0,Unit 052,1638.0,Now,2.0,2.5,Waterside Townhomes at River City,https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,"14277 River Station Ln, Jacksonville, FL 32218",-81.626634421584,30.497242436045,POINT (-9086635.378979428 3567627.193313452),-9086630.688797545,3567627.3081012038,3,1.3736263736263736,3
1,Talbot + Den,2250.0,Unit 053,1638.0,Now,2.0,2.5,Waterside Townhomes at River City,https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,"14277 River Station Ln, Jacksonville, FL 32218",-81.626634421584,30.497242436045,POINT (-9086635.378979428 3567627.193313452),-9086625.438498909,3567637.1143332394,3,1.3736263736263736,3
2,Talbot + Den,2250.0,Unit 115,1638.0,Now,2.0,2.5,Waterside Townhomes at River City,https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,"14277 River Station Ln, Jacksonville, FL 32218",-81.626634421584,30.497242436045,POINT (-9086635.378979428 3567627.193313452),-9086640.85763936,3567629.1869001044,3,1.3736263736263736,3
3,Talbot + Den,2250.0,Unit 119,1638.0,Now,2.0,2.5,Waterside Townhomes at River City,https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,"14277 River Station Ln, Jacksonville, FL 32218",-81.626634421584,30.497242436045,POINT (-9086635.378979428 3567627.193313452),-9086641.048303066,3567626.1363171027,3,1.3736263736263736,3
4,Talbot + Den,2250.0,Unit 049,1638.0,Now,2.0,2.5,Waterside Townhomes at River City,https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,"14277 River Station Ln, Jacksonville, FL 32218",-81.626634421584,30.497242436045,POINT (-9086635.378979428 3567627.193313452),-9086630.659646694,3567625.7555964906,3,1.3736263736263736,3
5,Talbot + Den,2250.0,Unit 116,1638.0,Now,2.0,2.5,Waterside Townhomes at River City,https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,"14277 River Station Ln, Jacksonville, FL 32218",-81.626634421584,30.497242436045,POINT (-9086635.378979428 3567627.193313452),-9086628.586339405,3567633.3571718107,3,1.3736263736263736,3
6,Harbor,2175.0,Unit 025,1638.0,Now,2.0,2.5,Waterside Townhomes at River City,https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,"14277 River Station Ln, Jacksonville, FL 32218",-81.626634421584,30.497242436045,POINT (-9086635.378979428 3567627.193313452),-9086640.353134386,3567621.6642122483,3,1.3278388278388278,3
7,Harbor,2175.0,Unit 026,1638.0,Now,2.0,2.5,Waterside Townhomes at River City,https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,"14277 River Station Ln, Jacksonville, FL 32218",-81.626634421584,30.497242436045,POINT (-9086635.378979428 3567627.193313452),-9086632.935788495,3567626.739046972,3,1.3278388278388278,3
8,Harbor,2175.0,Unit 029,1638.0,Now,2.0,2.5,Waterside Townhomes at River City,https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,"14277 River Station Ln, Jacksonville, FL 32218",-81.626634421584,30.497242436045,POINT (-9086635.378979428 3567627.193313452),-9086629.444937024,3567617.624530315,3,1.3278388278388278,3
9,Harbor,2175.0,Unit 039,1638.0,Now,2.0,2.5,Waterside Townhomes at River City,https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,"14277 River Station Ln, Jacksonville, FL 32218",-81.626634421584,30.497242436045,POINT (-9086635.378979428 3567627.193313452),-9086634.982066676,3567632.7477861657,3,1.3278388278388278,3
10,Harbor,2175.0,Unit 040,1638.0,Now,2.0,2.5,Waterside Townhomes at River City,https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,"14277 River Station Ln, Jacksonville, FL 32218",-81.626634421584,30.497242436045,POINT (-9086635.378979428 3567627.193313452),-9086643.30216333,3567634.0951791955,3,1.3278388278388278,3
11,Harbor,2175.0,Unit 041,1638.0,Now,2.0,2.5,Waterside Townhomes at River City,https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,"14277 River Station Ln, Jacksonville, FL 32218",-81.626634421584,30.497242436045,POINT (-9086635.378979428 3567627.193313452),-9086639.445375694,3567623.366190779,3,1.3278388278388278,3
12,Blackrock,2475.0,Unit 006,1644.0,Now,3.0,2.5,Waterside Townhomes at River City,https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,"14277 River Station Ln, Jacksonville, FL 32218",-81.626634421584,30.497242436045,POINT (-9086635.378979428 3567627.193313452),-9086628.519006392,3567622.3585196007,3,1.5054744525547443,3
13,Blackrock,2475.0,Unit 007,1644.0,Now,3.0,2.5,Waterside Townhomes at River City,https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,"14277 River Station Ln, Jacksonville, FL 32218",-81.626634421584,30.497242436045,POINT (-9086635.378979428 3567627.193313452),-9086644.481031278,3567634.0061711683,3,1.5054744525547443,3
14,Blackrock,2475.0,Unit 022,1644.0,Now,3.0,2.5,Waterside Townhomes at River City,https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,"14277 River Station Ln, Jacksonville, FL 32218",-81.626634421584,30.497242436045,POINT (-9086635.378979428 3567627.193313452),-9086643.047144726,3567636.2844695314,3,1.5054744525547443,3
15,Blackrock,2475.0,Unit 030,1644.0,Now,3.0,2.5,Waterside Townhomes at River City,https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,"14277 River Station Ln, Jacksonville, FL 32218",-81.626634421584,30.497242436045,POINT (-9086635.378979428 3567627.193313452),-9086632.29454005,3567617.87724641,3,1.5054744525547443,3
16,Blackrock,2475.0,Unit 001,1644.0,Now,3.0,2.5,Waterside Townhomes at River City,https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,"14277 River Station Ln, Jacksonville, FL 32218",-81.626634421584,30.497242436045,POINT (-9086635.378979428 3567627.193313452),-9086627.949454045,3567629.036703666,3,1.5054744525547443,3
17,Blackrock,2475.0,Unit 079,1644.0,Now,3.0,2.5,Waterside Townhomes at River City,https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,"14277 River Station Ln, Jacksonville, FL 32218",-81.626634421584,30.497242436045,POINT (-9086635.378979428 3567627.193313452),-9086625.97833302,3567634.118204524,3,1.5054744525547443,3
18,1 Bedroom 1 Bath,1225.0,Unit 1303,653.0,Now,1.0,1.0,Madison Palms,https://www.apartments.com/madison-palms-jacksonville-fl/xwk5hlm/,"8300 Merrill Rd, Jacksonville, FL 32277",-81.5586242,30.3486438,POINT (-9079064.51574396 3548443.9369768803),-9079070.905038862,3548445.479819154,0,1.875957120980092,0
19,1 Bedroom 1 Bath,1245.0,Unit 1103,653.0,Now,1.0,1.0,Madison Palms,https://www.apartments.com/madison-palms-jacksonville-fl/xwk5hlm/,"8300 Merrill Rd, Jacksonville, FL 32277",-81.5586242,30.3486438,POINT (-9079064.51574396 3548443.9369768803),-9079073.264433308,3548449.1656560684,0,1.906584992343032,0
20,1 Bedroom 1 Bath,1245.0,Unit 1107,653.0,Now,1.0,1.0,Madison Palms,https://www.apartments.com/madison-palms-jacksonville-fl/xwk5hlm/,"8300 Merrill Rd, Jacksonville, FL 32277",-81.5586242,30.3486438,POINT (-9079064.51574396 3548443.9369768803),-9079073.627547262,3548443.3103190134,0,1.906584992343032,0
21,2 Bedroom 2 Bath,1232.0,Unit 4208,947.0,Now,2.0,2.0,Madison Palms,https://www.apartments.com/madison-palms-jacksonville-fl/xwk5hlm/,"8300 Merrill Rd, Jacksonville, FL 32277",-81.5586242,30.3486438,POINT (-9079064.51574396 3548443.9369768803),-9079059.700325398,3548448.851573848,0,1.3009503695881732,0
22,2 Bedroom 2 Bath,1495.0,Unit 6301,1029.0,Now,2.0,2.0,Madison Palms,https://www.apartments.com/madison-palms-jacksonville-fl/xwk5hlm/,"8300 Merrill Rd, Jacksonville, FL 32277",-81.5586242,30.3486438,POINT (-9079064.51574396 3548443.9369768803),-9079064.739063526,3548435.662543241,0,1.4528668610301263,0
23,2 Bedroom 2 Bath,1495.0,Unit 2310,1029.0,Now,2.0,2.0,Madison Palms,https://www.apartments.com/madison-palms-jacksonville-fl/xwk5hlm/,"8300 Merrill Rd, Jacksonville, FL 32277",-81.5586242,30.3486438,POINT (-9079064.51574396 3548443.9369768803),-9079064.883729072,3548451.6776394933,0,1.4528668610301263,0
24,2 Bedroom 2 Bath,1495.0,Unit 6310,1029.0,Now,2.0,2.0,Madison Palms,https://www.apartments.com/madison-palms-jacksonville-fl/xwk5hlm/,"8300 Merrill Rd, Jacksonville, FL 32277",-81.5586242,30.3486438,POINT (-9079064.51574396 3548443.9369768803),-9079065.192623643,3548435.603998782,0,1.4528668610301263,0
25,3 Bedroom 2 Bath,1795.0,Unit 2302,1185.0,Now,3.0,2.0,Madison Palms,https://www.apartments.com/madison-palms-jacksonville-fl/xwk5hlm/,"8300 Merrill Rd, Jacksonville, FL 32277",-81.5586242,30.3486438,POINT (-9079064.51574396 3548443.9369768803),-9079063.566648465,3548447.399664261,0,1.5147679324894514,0
26,3 Bedroom 2 Bath,1815.0,Unit 2102,1185.0,Now,3.0,2.0,Madison Palms,https://www.apartments.com/madison-palms-jacksonville-fl/xwk5hlm/,"8300 Merrill Rd, Jacksonville, FL 32277",-81.5586242,30.3486438,POINT (-9079064.51574396 3548443.9369768803),-9079063.848557943,3548450.9158370406,0,1.5316455696202531,0
27,3 Bedroom 2 Bath,1815.0,Unit 2109,1185.0,Now,3.0,2.0,Madison Palms,https://www.apartments.com/madison-palms-jacksonville-fl/xwk5hlm/,"8300 Merrill Rd, Jacksonville, FL 32277",-81.5586242,30.3486438,POINT (-9079064.51574396 3548443.9369768803),-9079059.738705046,3548446.165577907,0,1.5316455696202531,0
28,Paloma,1855.0,Unit 14147,1239.0,Now,2.0,2.5,Casa Solara Townhomes,https://www.apartments.com/casa-solara-townhomes-jacksonville-fl/cdrx52d/,"14158 Wind Row Dr, Jacksonville, FL 32258",-81.536207600281,30.141658843561,POINT (-9076569.111277923 3521771.7941252715),-9076578.829820473,3521781.6791074164,2,1.497175141242938,2
29,Paloma,1855.0,Unit 14113,1239.0,Now,2.0,2.5,Casa Solara Townhomes,https://www.apartments.com/casa-solara-townhomes-jacksonville-fl/cdrx52d/,"14158 Wind Row Dr, Jacksonville, FL 32258",-81.536207600281,30.141658843561,POINT (-9076569.111277923 3521771.7941252715),-9076560.188258924,3521771.4224479413,2,1.497175141242938,2
30,Lucia,2165.0,Unit 14151,1438.0,Now,3.0,2.5,Casa Solara Townhomes,https://www.apartments.com/casa-solara-townhomes-jacksonville-fl/cdrx52d/,"14158 Wind Row Dr, Jacksonville, FL 32258",-81.536207600281,30.141658843561,POINT (-9076569.111277923 3521771.7941252715),-9076578.3696771,3521772.766512458,2,1.5055632823365783,2
31,Lucia,2599.0,Unit 14126,1438.0,Now,3.0,2.5,Casa Solara Townhomes,https://www.apartments.com/casa-solara-townhomes-jacksonville-fl/cdrx52d/,"14158 Wind Row Dr, Jacksonville, FL 32258",-81.536207600281,30.141658843561,POINT (-9076569.111277923 3521771.7941252715),-9076561.238969726,3521774.90401791,2,1.8073713490959664,2
32,Lucia,2599.0,Unit 14130,1438.0,Now,3.0,2.5,Casa Solara Townhomes,https://www.apartments.com/casa-solara-townhomes-jacksonville-fl/cdrx52d/,"14158 Wind Row Dr, Jacksonville, FL 32258",-81.536207600281,30.141658843561,POINT (-9076569.111277923 3521771.7941252715),-9076574.86373658,3521777.2000959213,2,1.8073713490959664,2
33,Lucia,2599.0,Unit 14132,1438.0,Now,3.0,2.5,Casa Solara Townhomes,https://www.apartments.com/casa-solara-townhomes-jacksonville-fl/cdrx52d/,"14158 Wind Row Dr, Jacksonville, FL 32258",-81.536207600281,30.141658843561,POINT (-9076569.111277923 3521771.7941252715),-9076574.70441457,3521770.346226946,2,1.8073713490959664,2
34,Lucia,2599.0,Unit 14136,1438.0,Now,3.0,2.5,Casa Solara Townhomes,https://www.apartments.com/casa-solara-townhomes-jacksonville-fl/cdrx52d/,"14158 Wind Row Dr, Jacksonville, FL 32258",-81.536207600281,30.141658843561,POINT (-9076569.111277923 3521771.7941252715),-9076571.829578178,3521774.1574664447,2,1.8073713490959664,2
35,Lucia,2599.0,Unit 14145,1438.0,Now,3.0,2.5,Casa Solara Townhomes,https://www.apartments.com/casa-solara-townhomes-jacksonville-fl/cdrx52d/,"14158 Wind Row Dr, Jacksonville, FL 32258",-81.536207600281,30.141658843561,POINT (-9076569.111277923 3521771.7941252715),-9076576.12347654,3521768.7387058027,2,1.8073713490959664,2
