Complex URL,Floor Plan Name,Price,Unit Name,Square Footage,Availability,Beds,Baths
https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,Talbot + Den,"$2,250",Unit 052,"1,638",Now,2 Beds,2.5 Baths
https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,Talbot + Den,"$2,250",Unit 053,"1,638",Now,2 Beds,2.5 Baths
https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,Talbot + Den,"$2,250",Unit 115,"1,638",Now,2 Beds,2.5 Baths
https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,Talbot + Den,"$2,250",Unit 119,"1,638",Now,2 Beds,2.5 Baths
https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,Talbot + Den,"$2,250",Unit 049,"1,638",Now,2 Beds,2.5 Baths
https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,Talbot + Den,"$2,250",Unit 116,"1,638",Now,2 Beds,2.5 Baths
https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,Harbor,"$2,175",Unit 025,"1,638",Now,2 Beds,2.5 Baths
https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,Harbor,"$2,175",Unit 026,"1,638",Now,2 Beds,2.5 Baths
https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,Harbor,"$2,175",Unit 029,"1,638",Now,2 Beds,2.5 Baths
https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,Harbor,"$2,175",Unit 039,"1,638",Now,2 Beds,2.5 Baths
https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,Harbor,"$2,175",Unit 040,"1,638",Now,2 Beds,2.5 Baths
https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,Harbor,"$2,175",Unit 041,"1,638",Now,2 Beds,2.5 Baths
https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,Blackrock,"$2,475",Unit 006,"1,644",Now,3 Beds,2.5 Baths
https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,Blackrock,"$2,475",Unit 007,"1,644",Now,3 Beds,2.5 Baths
https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,Blackrock,"$2,475",Unit 022,"1,644",Now,3 Beds,2.5 Baths
https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,Blackrock,"$2,475",Unit 030,"1,644",Now,3 Beds,2.5 Baths
https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,Blackrock,"$2,475",Unit 001,"1,644",Now,3 Beds,2.5 Baths
https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,Blackrock,"$2,475",Unit 079,"1,644",Now,3 Beds,2.5 Baths
https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,Talbot + Den,"$2,250",Unit 052,"1,638",Now,2 Beds,2.5 Baths
https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,Talbot + Den,"$2,250",Unit 053,"1,638",Now,2 Beds,2.5 Baths
https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,Talbot + Den,"$2,250",Unit 115,"1,638",Now,2 Beds,2.5 Baths
https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,Talbot + Den,"$2,250",Unit 119,"1,638",Now,2 Beds,2.5 Baths
https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,Talbot + Den,"$2,250",Unit 049,"1,638",Now,2 Beds,2.5 Baths
https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,Talbot + Den,"$2,250",Unit 116,"1,638",Now,2 Beds,2.5 Baths
https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,Harbor,"$2,175",Unit 025,"1,638",Now,2 Beds,2.5 Baths
https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,Harbor,"$2,175",Unit 026,"1,638",Now,2 Beds,2.5 Baths
https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,Harbor,"$2,175",Unit 029,"1,638",Now,2 Beds,2.5 Baths
https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,Harbor,"$2,175",Unit 039,"1,638",Now,2 Beds,2.5 Baths
https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,Harbor,"$2,175",Unit 040,"1,638",Now,2 Beds,2.5 Baths
https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,Harbor,"$2,175",Unit 041,"1,638",Now,2 Beds,2.5 Baths
https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,Blackrock,"$2,475",Unit 006,"1,644",Now,3 Beds,2.5 Baths
https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,Blackrock,"$2,475",Unit 007,"1,644",Now,3 Beds,2.5 Baths
https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,Blackrock,"$2,475",Unit 022,"1,644",Now,3 Beds,2.5 Baths
https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,Blackrock,"$2,475",Unit 030,"1,644",Now,3 Beds,2.5 Baths
https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,Blackrock,"$2,475",Unit 001,"1,644",Now,3 Beds,2.5 Baths
https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,Blackrock,"$2,475",Unit 079,"1,644",Now,3 Beds,2.5 Baths
https://www.apartments.com/madison-palms-jacksonville-fl/xwk5hlm/,1 Bedroom 1 Bath,"$1,225",Unit 1303,653,Now,1 Bed,1 Bath
https://www.apartments.com/madison-palms-jacksonville-fl/xwk5hlm/,1 Bedroom 1 Bath,"$1,245",Unit 1103,653,Now,1 Bed,1 Bath
https://www.apartments.com/madison-palms-jacksonville-fl/xwk5hlm/,1 Bedroom 1 Bath,"$1,245",Unit 1107,653,Now,1 Bed,1 Bath
https://www.apartments.com/madison-palms-jacksonville-fl/xwk5hlm/,2 Bedroom 2 Bath,"$1,232",Unit 4208,947,Now,2 Beds,2 Baths
https://www.apartments.com/madison-palms-jacksonville-fl/xwk5hlm/,2 Bedroom 2 Bath,"$1,495",Unit 6301,"1,029",Now,2 Beds,2 Baths
https://www.apartments.com/madison-palms-jacksonville-fl/xwk5hlm/,2 Bedroom 2 Bath,"$1,495",Unit 2310,"1,029",Now,2 Beds,2 Baths
https://www.apartments.com/madison-palms-jacksonville-fl/xwk5hlm/,2 Bedroom 2 Bath,"$1,495",Unit 6310,"1,029",Now,2 Beds,2 Baths
https://www.apartments.com/madison-palms-jacksonville-fl/xwk5hlm/,3 Bedroom 2 Bath,"$1,795",Unit 2302,"1,185",Now,3 Beds,2 Baths
https://www.apartments.com/madison-palms-jacksonville-fl/xwk5hlm/,3 Bedroom 2 Bath,"$1,815",Unit 2102,"1,185",Now,3 Beds,2 Baths
