,Floor Plan Name,Price,Unit Name,Square Footage,Availability,Beds,Baths,Name,URL,Address,Location
0,Talbot + Den,2250.0,Unit 052,1638.0,Now,2.0,2.5,Waterside Townhomes at River City,https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,"14277 River Station Ln, Jacksonville, FL 32218",NOT FOUND
1,Talbot + Den,2250.0,Unit 053,1638.0,Now,2.0,2.5,Waterside Townhomes at River City,https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,"14277 River Station Ln, Jacksonville, FL 32218",NOT FOUND
2,Talbot + Den,2250.0,Unit 115,1638.0,Now,2.0,2.5,Waterside Townhomes at River City,https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,"14277 River Station Ln, Jacksonville, FL 32218",NOT FOUND
3,Talbot + Den,2250.0,Unit 119,1638.0,Now,2.0,2.5,Waterside Townhomes at River City,https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,"14277 River Station Ln, Jacksonville, FL 32218",NOT FOUND
4,Talbot + Den,2250.0,Unit 049,1638.0,Now,2.0,2.5,Waterside Townhomes at River City,https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,"14277 River Station Ln, Jacksonville, FL 32218",NOT FOUND
5,Talbot + Den,2250.0,Unit 116,1638.0,Now,2.0,2.5,Waterside Townhomes at River City,https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,"14277 River Station Ln, Jacksonville, FL 32218",NOT FOUND
6,Harbor,2175.0,Unit 025,1638.0,Now,2.0,2.5,Waterside Townhomes at River City,https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,"14277 River Station Ln, Jacksonville, FL 32218",NOT FOUND
7,Harbor,2175.0,Unit 026,1638.0,Now,2.0,2.5,Waterside Townhomes at River City,https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,"14277 River Station Ln, Jacksonville, FL 32218",NOT FOUND
8,Harbor,2175.0,Unit 029,1638.0,Now,2.0,2.5,Waterside Townhomes at River City,https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,"14277 River Station Ln, Jacksonville, FL 32218",NOT FOUND
9,Harbor,2175.0,Unit 039,1638.0,Now,2.0,2.5,Waterside Townhomes at River City,https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,"14277 River Station Ln, Jacksonville, FL 32218",NOT FOUND
10,Harbor,2175.0,Unit 040,1638.0,Now,2.0,2.5,Waterside Townhomes at River City,https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,"14277 River Station Ln, Jacksonville, FL 32218",NOT FOUND
11,Harbor,2175.0,Unit 041,1638.0,Now,2.0,2.5,Waterside Townhomes at River City,https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,"14277 River Station Ln, Jacksonville, FL 32218",NOT FOUND
