,Unnamed: 0,Floor Plan Name,Price,Unit Name,Square Footage,Availability,Beds,Baths,Name,URL,Address,Location,Longitude,Latitude
0,0,Talbot + Den,2250.0,Unit 052,1638.0,Now,2.0,2.5,Waterside Townhomes at River City,https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,"14277 River Station Ln, Jacksonville, FL 32218","(30.497242436045, -81.626634421584)",,
1,1,Talbot + Den,2250.0,Unit 053,1638.0,Now,2.0,2.5,Waterside Townhomes at River City,https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,"14277 River Station Ln, Jacksonville, FL 32218","(30.497242436045, -81.626634421584)",,
2,2,Talbot + Den,2250.0,Unit 115,1638.0,Now,2.0,2.5,Waterside Townhomes at River City,https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,"14277 River Station Ln, Jacksonville, FL 32218","(30.497242436045, -81.626634421584)",,
3,3,Talbot + Den,2250.0,Unit 119,1638.0,Now,2.0,2.5,Waterside Townhomes at River City,https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,"14277 River Station Ln, Jacksonville, FL 32218","(30.497242436045, -81.626634421584)",,
4,4,Talbot + Den,2250.0,Unit 049,1638.0,Now,2.0,2.5,Waterside Townhomes at River City,https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,"14277 River Station Ln, Jacksonville, FL 32218","(30.497242436045, -81.626634421584)",,
5,5,Talbot + Den,2250.0,Unit 116,1638.0,Now,2.0,2.5,Waterside Townhomes at River City,https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,"14277 River Station Ln, Jacksonville, FL 32218","(30.497242436045, -81.626634421584)",,
6,6,Harbor,2175.0,Unit 025,1638.0,Now,2.0,2.5,Waterside Townhomes at River City,https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,"14277 River Station Ln, Jacksonville, FL 32218","(30.497242436045, -81.626634421584)",,
7,7,Harbor,2175.0,Unit 026,1638.0,Now,2.0,2.5,Waterside Townhomes at River City,https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,"14277 River Station Ln, Jacksonville, FL 32218","(30.497242436045, -81.626634421584)",,
8,8,Harbor,2175.0,Unit 029,1638.0,Now,2.0,2.5,Waterside Townhomes at River City,https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,"14277 River Station Ln, Jacksonville, FL 32218","(30.497242436045, -81.626634421584)",,
9,9,Harbor,2175.0,Unit 039,1638.0,Now,2.0,2.5,Waterside Townhomes at River City,https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,"14277 River Station Ln, Jacksonville, FL 32218","(30.497242436045, -81.626634421584)",,
10,10,Harbor,2175.0,Unit 040,1638.0,Now,2.0,2.5,Waterside Townhomes at River City,https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,"14277 River Station Ln, Jacksonville, FL 32218","(30.497242436045, -81.626634421584)",,
11,11,Harbor,2175.0,Unit 041,1638.0,Now,2.0,2.5,Waterside Townhomes at River City,https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,"14277 River Station Ln, Jacksonville, FL 32218","(30.497242436045, -81.626634421584)",,
12,12,Blackrock,2475.0,Unit 006,1644.0,Now,3.0,2.5,Waterside Townhomes at River City,https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,"14277 River Station Ln, Jacksonville, FL 32218","(30.497242436045, -81.626634421584)",,
13,13,Blackrock,2475.0,Unit 007,1644.0,Now,3.0,2.5,Waterside Townhomes at River City,https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,"14277 River Station Ln, Jacksonville, FL 32218","(30.497242436045, -81.626634421584)",,
