Floor Plan Name,Price,Unit Name,Square Footage,Availability,Beds,Baths,Name,URL,Address
Talbot + Den,2250.0,Unit 052,1638.0,Now,2.0,2.5 ,Waterside Townhomes at River City,https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,"14277 River Station Ln, Jacksonville, FL 32218"
Talbot + Den,2250.0,Unit 053,1638.0,Now,2.0,2.5 ,Waterside Townhomes at River City,https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,"14277 River Station Ln, Jacksonville, FL 32218"
Talbot + Den,2250.0,Unit 115,1638.0,Now,2.0,2.5 ,Waterside Townhomes at River City,https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,"14277 River Station Ln, Jacksonville, FL 32218"
Talbot + Den,2250.0,Unit 119,1638.0,Now,2.0,2.5 ,Waterside Townhomes at River City,https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,"14277 River Station Ln, Jacksonville, FL 32218"
Talbot + Den,2250.0,Unit 049,1638.0,Now,2.0,2.5 ,Waterside Townhomes at River City,https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,"14277 River Station Ln, Jacksonville, FL 32218"
Talbot + Den,2250.0,Unit 116,1638.0,Now,2.0,2.5 ,Waterside Townhomes at River City,https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,"14277 River Station Ln, Jacksonville, FL 32218"
Harbor,2175.0,Unit 025,1638.0,Now,2.0,2.5 ,Waterside Townhomes at River City,https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,"14277 River Station Ln, Jacksonville, FL 32218"
Harbor,2175.0,Unit 026,1638.0,Now,2.0,2.5 ,Waterside Townhomes at River City,https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,"14277 River Station Ln, Jacksonville, FL 32218"
Harbor,2175.0,Unit 029,1638.0,Now,2.0,2.5 ,Waterside Townhomes at River City,https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,"14277 River Station Ln, Jacksonville, FL 32218"
Harbor,2175.0,Unit 039,1638.0,Now,2.0,2.5 ,Waterside Townhomes at River City,https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,"14277 River Station Ln, Jacksonville, FL 32218"
Harbor,2175.0,Unit 040,1638.0,Now,2.0,2.5 ,Waterside Townhomes at River City,https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,"14277 River Station Ln, Jacksonville, FL 32218"
Harbor,2175.0,Unit 041,1638.0,Now,2.0,2.5 ,Waterside Townhomes at River City,https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,"14277 River Station Ln, Jacksonville, FL 32218"
Blackrock,2475.0,Unit 006,1644.0,Now,3.0,2.5 ,Waterside Townhomes at River City,https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,"14277 River Station Ln, Jacksonville, FL 32218"
Blackrock,2475.0,Unit 007,1644.0,Now,3.0,2.5 ,Waterside Townhomes at River City,https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,"14277 River Station Ln, Jacksonville, FL 32218"
Blackrock,2475.0,Unit 022,1644.0,Now,3.0,2.5 ,Waterside Townhomes at River City,https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,"14277 River Station Ln, Jacksonville, FL 32218"
Blackrock,2475.0,Unit 030,1644.0,Now,3.0,2.5 ,Waterside Townhomes at River City,https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,"14277 River Station Ln, Jacksonville, FL 32218"
Blackrock,2475.0,Unit 001,1644.0,Now,3.0,2.5 ,Waterside Townhomes at River City,https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,"14277 River Station Ln, Jacksonville, FL 32218"
Blackrock,2475.0,Unit 079,1644.0,Now,3.0,2.5 ,Waterside Townhomes at River City,https://www.apartments.com/waterside-townhomes-at-river-city-jacksonville-fl/rq2tb02/,"14277 River Station Ln, Jacksonville, FL 32218"
1 Bedroom 1 Bath,1225.0,Unit 1303,653.0,Now,1.0,1 ,Madison Palms,https://www.apartments.com/madison-palms-jacksonville-fl/xwk5hlm/,"8300 Merrill Rd, Jacksonville, FL 32277"
1 Bedroom 1 Bath,1245.0,Unit 1103,653.0,Now,1.0,1 ,Madison Palms,https://www.apartments.com/madison-palms-jacksonville-fl/xwk5hlm/,"8300 Merrill Rd, Jacksonville, FL 32277"
1 Bedroom 1 Bath,1245.0,Unit 1107,653.0,Now,1.0,1 ,Madison Palms,https://www.apartments.com/madison-palms-jacksonville-fl/xwk5hlm/,"8300 Merrill Rd, Jacksonville, FL 32277"
2 Bedroom 2 Bath,1232.0,Unit 4208,947.0,Now,2.0,2 ,Madison Palms,https://www.apartments.com/madison-palms-jacksonville-fl/xwk5hlm/,"8300 Merrill Rd, Jacksonville, FL 32277"
2 Bedroom 2 Bath,1495.0,Unit 6301,1029.0,Now,2.0,2 ,Madison Palms,https://www.apartments.com/madison-palms-jacksonville-fl/xwk5hlm/,"8300 Merrill Rd, Jacksonville, FL 32277"
2 Bedroom 2 Bath,1495.0,Unit 2310,1029.0,Now,2.0,2 ,Madison Palms,https://www.apartments.com/madison-palms-jacksonville-fl/xwk5hlm/,"8300 Merrill Rd, Jacksonville, FL 32277"
